133,3,0
101,4,0
202,0,1
651,5,1
189,5,0
109,0,0
657,5,0
153,5,1
655,5,0
673,4,0
698,2,0
110,4,0
651,0,1
416,4,1
123,4,1
660,5,1
157,1,0
651,3,0
667,5,0
230,1,0
128,3,0
128,5,0
653,3,0
240,2,0
018,5,0
179,4,0
696,0,0
211,5,0
678,3,0
188,0,0
669,1,0
651,1,1
697,0,1
055,0,1
096,2,1
056,0,1
666,3,1
651,5,1
133,1,1
689,5,1
651,3,1
659,3,1
118,4,1
219,5,1
016,5,1
006,5,1
101,2,0
133,5,1
678,5,0
087,0,0
691,0,0
100,1,0
227,5,0
155,3,0
669,5,0
219,5,0
397,5,0
167,4,0
111,4,0
225,3,0
397,3,0
454,4,0
152,1,1
666,1,1
260,3,1
208,1,1
133,1,1
419,2,1
682,3,1
651,3,1
397,4,1
539,4,1
018,0,0
138,0,0
185,4,1
204,2,1
699,5,1
048,0,0
395,4,0
670,4,0
167,1,0
673,4,0
471,0,0
101,3,0
397,3,0
090,2,0
160,2,0
151,0,0
682,5,0
699,0,0
199,0,0
104,3,0
105,0,0
213,0,0
395,4,0
660,4,0
230,4,0
670,2,0
651,0,0
140,5,0
699,1,0
651,2,1
006,5,1
664,0,1
105,1,1
102,1,1
172,4,1
166,4,0
129,4,0
699,3,0
203,3,0
693,5,0
658,5,0
048,1,0
003,3,0
206,5,0
042,5,0
123,5,0
063,4,0
659,3,0
659,0,0
005,4,0
213,5,0
089,5,0
666,0,0
675,5,0
096,5,0
651,4,1
410,4,1
169,4,1
156,2,1
005,3,1
687,0,1
699,3,1
172,5,1
454,0,1
658,1,1
156,2,1
105,1,1
674,0,0
105,4,0
658,5,0
699,3,0
101,5,0
556,5,0
100,1,0
161,0,0
227,0,0
396,4,0
699,5,1
699,5,1
118,5,1
007,1,1
395,5,1
091,5,0
020,3,0
174,0,0
656,4,0
033,0,0
447,0,0
040,0,0
092,1,0
676,5,0
003,2,0
184,0,0
668,3,0
226,0,0
043,3,0
209,3,0
187,3,0
090,3,0
651,0,1
018,3,0
030,5,0
696,1,0
005,5,0
669,2,0
154,0,0
651,1,0
161,4,0
681,2,0
080,5,0
676,5,0
151,5,0
023,4,0
257,1,0
185,3,0
194,3,0
666,1,0
693,3,0
669,3,0
192,0,0
460,4,0
133,1,0
460,2,0
467,5,0
166,5,0
699,4,0
688,3,0
219,5,0
460,0,0
651,5,1
202,5,1
666,3,1
660,5,1
174,2,0
651,0,1
676,2,1
651,1,1
675,3,1
667,4,1
479,3,1
048,4,0
666,0,0
683,4,0
006,0,0
209,5,0
170,3,0
698,3,0
651,2,0
659,3,0
669,0,0
654,5,0
696,2,0
179,2,0
664,2,0
201,2,0
161,5,0
133,5,0
653,5,0
657,3,0
118,0,0
478,0,0
457,0,0
004,4,0
136,5,0
666,3,0
160,0,0
651,5,1
186,3,1
125,0,0
128,1,0
668,3,0
128,0,1
669,0,1
651,1,1
666,2,1
211,2,1
096,4,0
669,5,0
513,3,0
189,4,0
666,1,0
699,0,0
004,3,0
669,5,0
672,0,1
659,0,1
651,0,0
096,0,0
239,0,0
187,0,0
217,2,0
396,3,0
